Category_Name,orders,total_sales,total_profit,avg_profit_margin,late_delivery_rate
Fishing,15164,6929653.690574537,756220.7671894967,0.10912821923814611,0.5731601731601732
Cleats,20386,4431942.783184858,494636.9197905669,0.11186017127543062,0.5733371349435868
Camping & Hiking,12299,4118425.571018641,427455.5681057271,0.1037910144871136,0.5690144948648845
Cardio Equipment,11355,3694843.196630149,383011.0984847086,0.10621971536256633,0.5693921678545687
Women's Apparel,17869,3147800.0,350421.02956735436,0.11000262784951813,0.5712859519847873
Water Sports,13758,3113844.684858376,325146.96003752435,0.10447372875058256,0.5721364221364221
Indoor/Outdoor Games,16623,2888993.9135053786,318451.4305541975,0.11132587141110689,0.5722354648150068
Men's Footwear,18783,2891757.662352451,311902.8202135816,0.10785925261793311,0.5692708801582307
Shop By Sport,10136,1309522.0414546607,129813.96031482209,0.10089248363052716,0.5761107064821559
Computers,442,663000.0,69656.81017112001,0.10506306209822021,0.5271493212669683
Electronics,3061,371034.6431878938,40891.379917647006,0.11164987256429412,0.585234474017744
Garden,484,257768.72827640036,33443.01010614101,0.12974036970955133,0.5702479338842975
Cameras ,592,267607.6850319976,30289.79994564501,0.11318733220244774,0.6199324324324325
Children's Clothing,652,232829.20397719851,27178.099596872988,0.11672977071868713,0.5659509202453987
Crafts,484,223356.32532400137,25531.170060449993,0.11430690410676554,0.5950413223140496
Women's Clothing,650,140283.00474500022,19102.849930083998,0.13617365813348736,0.5861538461538461
Girls' Apparel,1191,151706.20063339992,17288.56997269301,0.10644368963556385,0.5861781848459617
Accessories,1753,133671.50882501018,16643.520073949,0.1195879976846129,0.5915730337078652
Music,434,113122.09735259974,14436.319922850002,0.1276171522691291,0.5944700460829493
Consumer Electronics,431,108991.2821118995,13223.399925574995,0.12132529932071723,0.5916473317865429
Golf Gloves,1064,116695.39042290642,12975.490078117973,0.11357775653282527,0.5841121495327103
Baseball & Softball,628,94057.15254254013,12762.130067433005,0.12335076279576788,0.564873417721519
Sporting Goods,357,117006.75,12518.610118848,0.10699049515389501,0.5994397759103641
Golf Shoes,523,107998.0,12406.070142829007,0.10839038734675586,0.5782442748091603
Health and Beauty,362,106080.48307700001,9493.629974264002,0.08949459597928978,0.585635359116022
Kids' Golf Clubs,373,98797.57923373028,9045.839895538,0.09558289923812961,0.5833333333333334
Boxing & MMA,421,85205.41108689997,8641.370006250998,0.10056409736345606,0.5933806146572104
Golf Balls,1444,77098.15904222985,8342.670023919005,0.10641928679541206,0.5742372881355933
Trade-In,964,68721.77975241016,7915.369984927998,0.11314168719758907,0.5841889117043121
DVDs,483,79395.54236669955,6655.430088234,0.0838262437643528,0.5631469979296067
Hunting & Shooting,436,56848.420072160014,5979.999945299002,0.08245050557831392,0.5840909090909091
Tennis & Racquet,327,44585.090624319935,5747.979996384997,0.12250148629599622,0.5792682926829268
Men's Golf Clubs,280,47035.80051772003,5517.989977266001,0.13170313338007805,0.49823321554770317
Hockey,609,48360.72973540009,5397.430012878,0.11520920858949515,0.5570032573289903
Fitness Accessories,307,35601.44054357997,5258.390016191998,0.1356469651694233,0.5954692556634305
Women's Golf Clubs,181,44545.970131600174,5028.639929452997,0.12925215339194374,0.569060773480663
Lacrosse,341,39464.78979349001,4364.289984193001,0.11622385390630822,0.6209912536443148
Soccer,136,26477.04983730001,3901.949953446999,0.13102422884439208,0.5579710144927537
Pet Supplies,492,41524.800752760195,3589.2599586140004,0.08643653656484872,0.6138211382113821
Golf Apparel,440,34969.750038810096,3496.3099828970016,0.0941139912207279,0.5328798185941043
Video Games,838,33310.5,2717.5199967359986,0.08158148321808431,0.5632458233890215
Men's Clothing,208,43856.80126880008,2006.0399694160008,0.045740681294125965,0.5673076923076923
Basketball,64,27099.32934339999,1845.6700034540013,0.09773277286807035,0.5970149253731343
Golf Bags & Carts,61,10369.390335499993,1810.069992479,0.17455895996914658,0.6885245901639344
Baby ,207,12229.560378809976,1525.02999227,0.1247003117881816,0.5458937198067633
Toys,529,6104.659978840051,900.7100003560001,0.14754466317174844,0.5841209829867675
Books ,405,12587.399967599975,883.0100077940001,0.07015030983895565,0.5753086419753086
As Seen on  TV!,68,20597.939964179997,714.4299797090005,0.055009105213770206,0.5882352941176471
CDs ,271,3059.589989159997,383.8499996369999,0.12545798652661458,0.5424354243542435
Strength Training,111,54895.52953640002,332.3100905269989,0.051320788296644694,0.5945945945945946
